time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-09-30T18:44:29.341Z,3.6568,97.0207,54.08,4.4,mb,,164,1.563,1,us,us6000c3ay,2020-12-12T22:28:24.040Z,"112 km ESE of Meulaboh, Indonesia",earthquake,7.9,3.4,0.112,23,reviewed,us,us
2020-09-29T10:48:54.148Z,3.9044,97.6847,35,4.4,mb,,114,1.507,0.6,us,us6000c2hf,2020-12-05T21:03:06.040Z,"northern Sumatra, Indonesia",earthquake,3.4,1.9,0.105,26,reviewed,us,us
2020-09-29T03:00:39.159Z,3.078,96.7648,35,4.2,mb,,142,1.939,0.79,us,us6000c4td,2020-12-05T21:03:11.040Z,"northern Sumatra, Indonesia",earthquake,6.8,2,0.176,9,reviewed,us,us
2020-09-28T18:16:11.571Z,3.9397,97.6972,35,4.2,mb,,72,1.482,1.08,us,us6000c275,2020-12-05T21:03:04.040Z,"65 km W of Pangkalan Brandan, Indonesia",earthquake,4.4,2,0.102,27,reviewed,us,us
2020-09-24T09:34:06.486Z,5.2464,96.6839,218.55,4.1,mb,,66,0.262,1.06,us,us6000c367,2020-12-05T21:03:08.040Z,"5 km NNW of Bireun, Indonesia",earthquake,9.9,3.7,0.114,21,reviewed,us,us
2020-09-19T04:50:22.414Z,4.9746,96.4066,10,4.5,mb,,69,0.594,1.25,us,us6000c0hj,2020-11-28T21:31:53.040Z,"30 km SSE of Reuleuet, Indonesia",earthquake,7.4,1.9,0.171,10,reviewed,us,us
2020-09-18T10:15:20.553Z,5.2039,94.7511,76.44,4.5,mb,,86,2.187,0.82,us,us6000c046,2020-11-28T21:31:51.040Z,"74 km WSW of Banda Aceh, Indonesia",earthquake,5,6.9,0.093,34,reviewed,us,us
2020-09-13T18:28:52.194Z,4.2449,96.6838,121.54,5,mww,,42,1.012,1.13,us,us7000bmra,2020-11-21T20:10:40.040Z,"62 km E of Meulaboh, Indonesia",earthquake,7.3,4.2,0.071,19,reviewed,us,us
2020-09-01T11:52:50.668Z,3.0422,95.7332,8.51,4.9,mb,,117,2.486,0.48,us,us7000bfrm,2020-11-07T18:48:43.040Z,"95 km NW of Sinabang, Indonesia",earthquake,4.9,4.5,0.079,50,reviewed,us,us
2020-08-20T13:53:52.144Z,4.8884,96.0874,10,4.4,mb,,85,0.92,0.82,us,us6000bhpy,2020-10-31T19:06:11.040Z,"42 km SSW of Reuleuet, Indonesia",earthquake,1.9,1.9,0.095,38,reviewed,us,us
2020-08-06T10:12:56.849Z,3.7417,95.6192,43.5,4.6,mb,,51,1.983,0.77,us,us6000ba12,2020-10-21T22:03:54.040Z,"71 km SW of Meulaboh, Indonesia",earthquake,7.7,5.7,0.096,32,reviewed,us,us
2020-06-18T10:56:55.720Z,5.7719,95.2875,10,4.5,mb,,150,1.738,1.22,us,us7000aax5,2020-08-30T00:01:12.040Z,"13 km SSW of Sabang, Indonesia",earthquake,10.9,1.9,0.156,15,reviewed,us,us
2020-06-10T04:23:22.554Z,3.5269,98.0192,140.62,4.3,mb,,89,1.225,0.61,us,us6000adhe,2020-08-22T19:14:58.040Z,"52 km W of Binjai, Indonesia",earthquake,10.4,2.3,0.177,9,reviewed,us,us
2020-06-05T01:23:03.458Z,4.5025,95.1232,50.69,4.5,mb,,139,1.955,0.87,us,us6000a6ac,2020-08-18T17:58:51.040Z,"117 km SSW of Banda Aceh, Indonesia",earthquake,9.2,8.2,0.1,29,reviewed,us,us
2020-06-03T22:30:55.044Z,5.6736,95.17,10,4.6,mb,,87,1.823,0.56,us,us6000a5jq,2020-08-18T17:58:46.040Z,"23 km NW of Banda Aceh, Indonesia",earthquake,7.9,1.9,0.076,52,reviewed,us,us
2020-05-25T10:08:11.583Z,4.9608,94.4496,48.36,4.5,mb,,166,2.502,0.69,us,us70009pzl,2020-08-08T18:17:58.040Z,"117 km WSW of Banda Aceh, Indonesia",earthquake,10.7,8.2,0.128,18,reviewed,us,us
