id,x,y
"1",95.2524599758,5.5888846622
"2",95.2969060963,5.5209082425
"3",95.3648825159,5.4503173452
"4",95.4250155025,5.3927988363
"5",95.5139077436,5.3248224167
"6",95.5844986409,5.2568459970
"7",95.6603184936,5.2019419658
"8",95.7309093909,5.1391945015
"9",95.8067292435,5.0738325596
"10",95.8877780516,5.0110850953
